symbol	tier	n_sources	sources	has_strong_assertion	in_mitotic_panel	assertions
AAAS	1	2	PanelApp,gene2phenotype	yes	no	AAAS-related chalasia-addisonianism-alacrima syndrome () | Intellectual disability (confidence 3)
AARS1	1	2	ClinGen,gene2phenotype	yes	no	AARS1-related early-onset epileptic encephalopathy with persistent myelination defect () | AARS1-related leukoencephalopathy (Limited) | Charcot-Marie-Tooth disease axonal type 2N (Definitive) | developmental and epileptic encephalopathy, 29 (Definitive)
AASS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AASS-related hyperlysinemia () | Intellectual disability (confidence 3) | hyperlysinemia (Definitive)
ABAT	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABAT-related GABA-transaminase deficiency () | Intellectual disability (confidence 3) | genetic developmental and epileptic encephalopathy (Moderate)
ABCA2	1	2	PanelApp,gene2phenotype	yes	no	ABCA2-related intellectual developmental disorder with poor growth and with or without seizures or ataxia () | Intellectual disability (confidence 3)
ABCB6	1	2	ClinGen,gene2phenotype	yes	no	ABCB6-related microphthalmia, isolated, with coloboma () | dyschromatosis universalis hereditaria 3 (Moderate) | microphthalmia, isolated, with coloboma 7 (Limited)
ABCB7	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABCB7-related anemia, sideroblastic, with ataxia () | Intellectual disability (confidence 1) | mitochondrial disease (Moderate)
ABCC6	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABCC6-related arterial calcification, generalized, of infancy () | Intellectual disability (confidence 1) | Nephrocalcinosis or nephrolithiasis (confidence 0) | inherited pseudoxanthoma elasticum (Definitive)
ABCC8	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | hyperinsulinemic hypoglycemia, familial, 1 (Definitive) | hyperinsulinism (Definitive) | monogenic diabetes (Definitive) | pulmonary arterial hypertension (Moderate)
ABCC9	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABCC9-related Cantu Syndrome () | ABCC9-related intellectual disability, myopathy and white matter abnormalities () | Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders (confidence 0) | Brugada syndrome (Disputed) | Intellectual disability (confidence 3) | dilated cardiomyopathy 1O (Limited)
ABCD1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABCD1-related adrenoleukodystrophy () | Intellectual disability (confidence 3) | adrenoleukodystrophy (Definitive)
ABCD4	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABCD4-related methylmalonic aciduria and homocystinuria, cblJ type () | Intellectual disability (confidence 3) | methylmalonic acidemia with homocystinuria, type cblJ (Moderate)
ABCG5	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | sitosterolemia (Definitive)
ABHD12	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | PHARC syndrome (Definitive)
ABHD16A	1	2	PanelApp,gene2phenotype	yes	no	ABHD16A-related spastic paraplegia, intellectual disability and thin corpus callosum () | Intellectual disability (confidence 3)
ABHD5	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ABHD5-related ichthyotic neutral lipid storage disease () | Dorfman-Chanarin disease (Definitive) | Intellectual disability (confidence 3)
ACAD9	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACAD9-related acyl-CoA dehydrogenase family member type 9 deficiency () | Intellectual disability (confidence 3) | acyl-CoA dehydrogenase 9 deficiency (Definitive)
ACADM	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACADM-related medium chain acyl-CoA dehydrogenase deficiency () | Intellectual disability (confidence 3) | medium chain acyl-CoA dehydrogenase deficiency (Definitive)
ACADS	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACADS-related short chain acyl-CoA dehydrogenase deficiency () | Intellectual disability (confidence 3) | short chain acyl-CoA dehydrogenase deficiency (Definitive)
ACADSB	1	2	ClinGen,PanelApp	yes	no	2-methylbutyryl-CoA dehydrogenase deficiency (Definitive) | Intellectual disability (confidence 2)
ACADVL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACADVL-related very long chain acyl-CoA dehydrogenase deficiency () | Intellectual disability (confidence 2) | very long chain acyl-CoA dehydrogenase deficiency (Definitive)
ACAN	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACAN-related short stature spectrum (Definitive) | ACAN-related spondyloepimetaphyseal dysplasia, aggrecan type () | ACAN-related spondyloepiphyseal dysplasia () | Intellectual disability (confidence 1)
ACAT1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACAT1-related alpha-methylacetoacetic aciduria () | Intellectual disability (confidence 2) | beta-ketothiolase deficiency (Definitive)
ACBD5	1	2	ClinGen,gene2phenotype	yes	no	ACBD5-related deficiency () | acyl-CoA binding domain containing protein 5 deficiency (Definitive)
ACBD6	1	2	PanelApp,gene2phenotype	yes	no	ACBD6-related intellectual developmental disorder () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
ACD	1	2	ClinGen,PanelApp	yes	no	ACD-related short telomere syndrome (Definitive) | Childhood solid tumours (confidence 2)
ACER3	1	2	PanelApp,gene2phenotype	yes	no	ACER3-related leukodystrophy () | Intellectual disability (confidence 3)
ACO2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACO2-related infantile cerebellar-retinal degeneration () | Intellectual disability (confidence 3) | mitochondrial disease (Definitive) | mitochondrial disease (Strong) | optic atrophy 9 (Definitive)
ACOX1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACOX1-related adrenoleukodystrophy pseudoneonatal () | Intellectual disability (confidence 3) | Mitchell syndrome (Definitive) | peroxisomal acyl-CoA oxidase deficiency (Definitive)
ACOX2	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | congenital bile acid synthesis defect 6 (Definitive)
ACSF3	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | combined malonic and methylmalonic acidemia (Definitive)
ACSL4	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACSL4-related intellectual developmental disorder () | Intellectual disability (confidence 3) | non-syndromic X-linked intellectual disability (Definitive)
ACTA1	1	2	ClinGen,gene2phenotype	yes	no	ACTA1-related nemaline myopathy () | alpha-actinopathy (Definitive)
ACTA2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACTA2-related Moyamoya disease () | Intellectual disability (confidence 2) | multisystemic smooth muscle dysfunction syndrome (Definitive)
ACTB	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	ACTB-associated syndromic thrombocytopenia (Moderate) | ACTB-related Baraitser-Winter syndrome () | ACTB-related haploinsufficiency syndrome () | Baraitser-Winter cerebrofrontofacial syndrome (Definitive) | Intellectual disability (confidence 3) | tier 3
ACTC1	1	2	ClinGen,gene2phenotype	yes	no	ACTC1-related distal arthrogryposis with congenital heart disease () | arrhythmogenic right ventricular cardiomyopathy (No Known Disease Relationship) | dilated cardiomyopathy 1R (Moderate) | hypertrophic cardiomyopathy (Definitive)
ACTG1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACTG1-related Baraitser-Winter syndrome () | Baraitser-winter syndrome 2 (Definitive) | Intellectual disability (confidence 3) | nonsyndromic genetic hearing loss (Definitive)
ACTL6A	1	4	ClinGen,PanelApp,gene2phenotype,mitotic_panel	yes	yes	ACTL6A-related BAFopathy (Moderate) | ACTL6A-related BAFopathy (developmental disorder with or without cardiac and limb anomalies) () | Intellectual disability (confidence 3) | tier 3
ACTL6B	1	3	PanelApp,gene2phenotype,mitotic_panel	yes	yes	ACTL6B-related epileptic encephalopathy, early infantile () | ACTL6B-related intellectual developmental disorder with severe speech and ambulation defects () | Intellectual disability (confidence 3) | tier 3
ACVR1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACVR1-related fibrodysplasia ossificans progressiva () | Intellectual disability (confidence 2) | congenital heart disease (Limited) | fibrodysplasia ossificans progressiva (Definitive)
ACY1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ACY1-related aminoacylase 1 deficiency () | Intellectual disability (confidence 3) | aminoacylase 1 deficiency (Definitive)
ADA	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADA-related adenosine deaminase deficiency () | Intellectual disability (confidence 2) | severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency (Definitive)
ADAM22	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADAM22-related developmental and epileptic encephalopathy () | Intellectual disability (confidence 3) | developmental and epileptic encephalopathy (Definitive)
ADAMTS18	1	2	ClinGen,gene2phenotype	yes	no	ADAMTS18-related microcornea, myopic chorioretinal atrophy, and telecanthus () | microcornea-myopic chorioretinal atrophy (Definitive)
ADAR	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADAR-related Aicardi-Goutieres syndrome associated with a type I interferon signature () | ADAR-related dyschromatosis symmetrica hereditaria () | ADAR-related type 1 interferonopathy (Definitive) | Intellectual disability (confidence 3) | Leigh syndrome (Limited)
ADARB1	1	2	PanelApp,gene2phenotype	yes	no	ADARB1-related microcephaly, intellectual disability, and seizures () | Intellectual disability (confidence 3) | Severe microcephaly (confidence 3)
ADAT3	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | intellectual disability-strabismus syndrome (Moderate)
ADCY5	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADCY5-related developmental disorder () | Intellectual disability (confidence 2) | dyskinesia with orofacial involvement (Definitive)
ADD3	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | complex neurodevelopmental disorder with motor features (Moderate)
ADGRG1	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADGRG1-related polymicrogyria () | Intellectual disability (confidence 3) | bilateral frontoparietal polymicrogyria (Definitive)
ADGRL1	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 3) | complex neurodevelopmental disorder (Definitive)
ADGRV1	1	2	ClinGen,PanelApp	yes	no	Intellectual disability (confidence 1) | Usher syndrome type 2 (Definitive) | nonsyndromic genetic hearing loss (Disputed)
ADK	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADK-related intellectual developmental disorder () | Intellectual disability (confidence 3) | adenosine kinase deficiency (Definitive)
ADNP	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder (Definitive) | ADNP-related neurodevelopmental disorder (Helsmoortel-Van der Aa Syndrome) () | Intellectual disability (confidence 3)
ADSL	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	ADSL-related adenylosuccinase deficiency () | Intellectual disability (confidence 3) | adenylosuccinate lyase deficiency (Definitive)
AFF2	1	3	ClinGen,PanelApp,gene2phenotype	yes	no	AFF2-related fragile X-E intellectual developmental disorder () | Intellectual disability (confidence 3) | non-syndromic X-linked intellectual disability (Definitive)
AFF3	1	2	PanelApp,gene2phenotype	yes	no	AFF3-related KINSSHIP syndrome () | AFF3-related intellectual disability () | Intellectual disability (confidence 3)
AFF4	1	2	PanelApp,gene2phenotype	yes	no	AFF4-related Cornelia de Lange-like syndrome () | Intellectual disability (confidence 3)
