symbol	phenotype_score	fraction_of_max	n_terms_matched	matched_terms	in_disease_panel
KCNJ1	12.776	0.4813	5	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
SLC12A1	12.776	0.4813	5	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
ABCC6	12.735	0.4797	4	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0200067(Recurrent spontaneous abortion)	yes
ENPP1	12.735	0.4797	4	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0200067(Recurrent spontaneous abortion)	yes
INSR	11.66	0.4393	5	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001518(Small for gestational age)	yes
MPV17	11.66	0.4393	5	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001518(Small for gestational age)	yes
VPS33B	11.66	0.4393	5	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001518(Small for gestational age)	yes
HRAS	11.564	0.4356	4	HP:0002859(Rhabdomyosarcoma);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0001622(Premature birth)	yes
PTCH1	11.564	0.4356	4	HP:0002859(Rhabdomyosarcoma);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0001622(Premature birth)	yes
BSND	11.509	0.4335	4	HP:0000121(Nephrocalcinosis);HP:0001508(Failure to thrive);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
CLCNKA	11.509	0.4335	4	HP:0000121(Nephrocalcinosis);HP:0001508(Failure to thrive);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
CLCNKB	11.509	0.4335	4	HP:0000121(Nephrocalcinosis);HP:0001508(Failure to thrive);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
FBXL4	11.049	0.4162	5	HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
FIG4	11.049	0.4162	5	HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
SLC16A2	11.049	0.4162	5	HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
PEX3	9.926	0.3739	4	HP:0000121(Nephrocalcinosis);HP:0004322(Short stature);HP:0001508(Failure to thrive);HP:0001622(Premature birth)	yes
IGHMBP2	9.782	0.3685	4	HP:0001508(Failure to thrive);HP:0003202(Skeletal muscle atrophy);HP:0001622(Premature birth);HP:0001518(Small for gestational age)	yes
