gene_symbol	n_drug_mechanisms
8232002	1
8232849	1
8232852	1
8238272	1
8238273	1
8238275	1
ABCC8	2
ABCC9	4
ACHE	1
ACVR1	2
ACVR2A	1
ACVR2B	1
ADM	1
ADORA1	11
ADORA2A	10
ADORA2B	2
ADORA3	3
ADRA1A	23
ADRA1B	20
ADRA1D	20
ADRA2A	28
ADRA2B	27
ADRA2C	27
ADRB1	16
ADRB2	52
ADRB3	18
AGTR1	1
AHR	1
AOC1	1
APLNR	1
APP	2
AR	17
ATP2A2	1
AVPR1A	6
AVPR1B	5
AVPR2	5
BDKRB2	1
BMPR1A	2
BMPR1B	2
BMPR2	2
CALCR	6
CALCRL	1
CASR	5
CCKAR	3
CD27	1
CD28	1
CD4	1
CD40	6
CFTR	11
CHRM1	10
CHRM2	3
CHRM3	8
CHRM4	2
CHRNA1	2
CHRNA3	2
CHRNA4	14
CHRNA5	1
CHRNA6	1
CHRNA7	15
CHRNB1	2
CHRNB2	14
CHRNB4	2
CHRND	2
CHRNE	2
CHRNG	2
CLCN2	2
CNR1	4
CNR2	8
CPS1	1
CSF2RA	1
CSF2RB	2
CSF3R	9
CXCR4	1
DRD1	7
DRD2	21
DRD3	11
DRD4	8
DRD5	3
EPOR	11
ESR1	21
ESR2	14
F12	1
FFAR1	3
FGF1	3
FGFR2	2
FGFR4	1
FLNA	1
FLT1	1
FLT3	1
FSHR	7
GAA	1
GABBR1	8
GABBR2	8
GABRA1	68
GABRA2	68
GABRA3	67
GABRA4	66
GABRA5	65
GABRA6	65
GABRB1	67
GABRB2	65
GABRB3	67
GABRD	65
GABRE	64
GABRG1	64
GABRG2	66
GABRG3	64
GABRP	64
GABRQ	64
GBA1	1
GCGR	9
GCK	6
GFRA1	1
GHR	5
GHRHR	2
GHSR	10
GIPR	2
GLA	2
GLP1R	16
GLP2R	3
GLRA1	6
GLRB	6
GNRHR	11
GPR119	2
GRIA1	6
GRIA2	6
GRIA3	6
GRIA4	6
GRIN1	3
GRIN2A	3
GRIN2B	3
GRIN2C	3
GRIN2D	3
GRIN3A	3
GRIN3B	3
GRM2	5
GRM3	3
GRM4	1
GUCY1A1	13
GUCY1A2	13
GUCY1B1	13
GUCY1B2	13
GUCY2C	3
HBA1	1
HBA2	1
HBB	1
HCAR2	1
HNF4A	1
HRH1	3
HRH2	2
HRH3	1
HTR1A	22
HTR1B	11
HTR1D	13
HTR1E	1
HTR1F	5
HTR2A	2
HTR2B	2
HTR2C	4
HTR3A	2
HTR3B	2
HTR3C	2
HTR3D	2
HTR3E	2
HTR4	17
HTR5A	1
HTR6	1
HTR7	1
ICOS	2
IFNAR1	11
IFNAR2	11
IFNGR1	1
IFNGR2	1
IFNLR1	1
IGF1R	2
IL10RA	1
IL10RB	3
IL11RA	1
IL15RA	2
IL18R1	1
IL18RAP	1
IL22RA1	1
IL2RA	1
IL2RB	4
IL2RG	4
INPP5D	1
INSR	27
KCNJ11	5
KCNJ8	3
KCNK10	5
KCNK18	5
KCNK2	5
KCNK3	5
KCNK9	5
KCNMA1	3
KCNN4	1
KCNQ1	1
KCNQ2	2
KCNQ3	2
KCNQ4	2
KCNQ5	2
KDR	1
KLB	3
LEPR	2
LHCGR	5
LTBR	1
LYN	1
MAOA	1
MAS1	1
MC1R	4
MC2R	4
MC3R	1
MC4R	5
MET	2
MLNR	4
MLST8	1
MPL	8
MTNR1A	5
MTNR1B	5
MTOR	1
MYH6	2
MYH7	2
