gene_symbol	n_drug_mechanisms
8229807	1
8230507	1
8230508	1
8230819	1
8230924	1
8230937	1
8230957	1
8231029	1
8231511	1
8232310	1
8232678	1
8232915	1
8232983	1
8233619	1
8233620	1
8233621	1
8233823	1
8233868	1
8234154	1
8234407	1
8234408	1
8234840	1
8235475	1
8236087	1
8236088	1
8236100	1
8236974	1
8237447	1
8237618	1
8237795	1
8238085	1
8238086	1
8238343	1
8238380	1
8238404	1
8239847	1
8239920	1
8240195	1
ABAT	1
ABCA1	1
ABCB1	5
ABCC1	1
ABCC8	13
ABL1	24
ACACA	4
ACACB	4
ACE	17
ACHE	23
ACLY	1
ACVR1	2
ACVR2B	1
ACVRL1	2
ADA	2
ADAM17	1
ADAMTS5	1
ADH1A	2
ADH1B	2
ADH1C	2
ADH4	1
ADH5	3
ADH6	1
ADH7	1
ADORA1	12
ADORA2A	18
ADORA2B	11
ADORA3	7
ADRA1A	23
ADRA1B	20
ADRA1D	21
ADRA2A	14
ADRA2B	14
ADRA2C	15
ADRB1	33
ADRB2	21
ADRB3	5
ADRM1	6
AGER	1
AGTR1	18
AGTR2	1
AKR1B1	4
AKT1	16
AKT2	14
AKT3	14
ALDH2	1
ALDH5A1	3
ALK	11
ALOX12	1
ALOX5	9
ALOX5AP	3
AMY2A	1
ANGPT1	2
ANGPT2	8
ANGPTL3	1
ANO1	1
ANPEP	1
AOC3	1
AOPEP	1
APCS	1
APEX1	1
APH1A	6
APH1B	6
APP	3
AR	15
ARAF	3
ATP1A1	6
ATP1A2	6
ATP1A3	6
ATP1A4	6
ATP1B1	6
ATP1B2	6
ATP1B3	6
ATP2A1	1
ATP2A2	1
ATP2A3	1
ATP4A	13
ATP4B	13
ATR	4
AURKA	19
AURKB	18
AURKC	10
AVPR1A	6
AVPR1B	1
AVPR2	6
AXL	5
Ace1	1
BACE1	4
BCHE	4
BCL2	4
BCL2A1	1
BCL2L1	2
BCL2L10	1
BCL2L2	2
BCR	10
BDKRB1	3
BDKRB2	3
BIRC2	1
BIRC3	1
BLK	5
BMP10	1
BMX	2
BRAF	17
BRD2	6
BRD3	6
BRD4	6
BRDT	6
BSG	1
BTK	23
C1S	2
C3	3
C5	10
C5AR1	2
CA1	8
CA12	5
CA13	2
CA14	2
CA2	10
CA3	2
CA4	7
CA5A	2
CA5B	2
CA6	2
CA7	3
CA9	2
CACNA1A	5
CACNA1B	11
CACNA1C	31
CACNA1D	31
CACNA1E	4
CACNA1F	31
CACNA1G	11
CACNA1H	12
CACNA1I	11
CACNA1S	31
CACNA2D1	4
CACNA2D2	4
CACNA2D3	4
CACNA2D4	4
CACNB1	4
CACNB2	4
CACNB3	4
CACNB4	4
CACNG1	4
CACNG2	4
CACNG3	4
CACNG4	4
CACNG5	4
CACNG6	4
CACNG7	4
CACNG8	4
CALCA	3
CALCB	3
CALCRL	11
CALM1	2
CASP1	3
CASP10	1
CASP12	1
CASP14	1
CASP2	1
CASP3	1
CASP4	1
CASP5	1
CASP6	1
CASP7	1
CASP8	2
CASP9	2
CASR	1
CCDC6	2
CCKAR	2
CCKBR	4
CCL11	1
CCL2	1
CCN2	1
CCND1	2
CCR1	3
CCR2	10
CCR5	12
CCR9	2
CD14	2
CD19	1
CD2	2
CD200	1
CD22	2
CD248	1
CD274	8
CD28	1
CD37	1
CD38	4
CD3D	2
CD3E	4
CD3G	2
CD4	7
CD40	5
CD40LG	6
CD44	1
CD47	2
CD52	1
CD6	1
CD70	1
CD74	2
CD80	3
CD86	2
CDA	1
CDC7	4
CDH3	1
CDK1	13
CDK10	4
CDK11B	4
CDK12	4
CDK13	4
CDK14	4
CDK15	4
CDK16	4
CDK17	4
CDK18	4
CDK19	4
CDK2	15
CDK20	4
CDK3	4
CDK4	18
CDK5	7
CDK6	12
CDK7	9
CDK8	4
CDK9	11
CETP	6
CFB	2
CFD	2
CFTR	2
CHEK1	9
CHEK2	2
CHKA	1
CHRM1	32
CHRM2	17
CHRM3	42
CHRM4	5
CHRM5	5
CHRNA1	12
CHRNA10	1
CHRNA3	4
CHRNA4	2
CHRNA7	1
CHRNA9	1
CHRNB1	12
CHRNB2	2
CHRNB4	4
CHRND	12
CHRNE	12
CHRNG	12
CLEC4C	1
CLK2	1
CMA1	1
CNR1	9
COL4A4	1
COMT	4
COX-1	1
COXFA4	3
COXFA4L2	3
CPSF3	1
CPT1B	1
CPT2	1
CR1	1
CRBN	3
CREBBP	1
CRHR1	5
CSF1	2
CSF1R	20
CSF2	5
CSF2RA	1
CSF2RB	1
CSF3R	1
CSNK1E	1
CSNK2A1	1
CTLA4	6
CTNNB1	1
CTSC	1
CTSK	3
CTSS	1
CUL4A	3
CX3CL1	1
CXCL10	2
CXCL12	1
CXCL8	2
CXCR1	3
CXCR2	5
CXCR4	7
CYP11A1	3
CYP11B1	4
CYP11B2	1
CYP17A1	6
CYP19A1	6
CYP26A1	1
CYP3A4	3
CYP3A43	2
CYP3A5	2
CYP3A7	2
CYP46A1	1
CYP51	1
CYSLTR1	4
DBH	1
DDB1	3
DDC	3
DDR2	1
DGAT1	2
DHCR24	1
DHFR	9
DHODH	6
DIO1	1
DKK1	2
DLL4	2
DNMT1	2
DNMT3A	2
DNPEP	1
DPEP1	2
DPP4	19
DPYD	2
DRD1	5
DRD2	72
DRD3	26
DRD4	19
DRD5	2
DXR	1
DYRK1A	1
E2F1	2
E2F2	2
E2F3	2
E2F4	2
E2F5	2
E2F6	2
E2F7	2
E2F8	2
ECE1	1
EDNRA	16
EDNRB	9
EEF1A2	1
EEF2	11
EFNB2	1
EGFL7	1
EGFR	75
EGLN1	5
EGLN2	4
EGLN3	4
EGR1	1
ELANE	4
EML4	5
ENG	1
ENPEP	2
ENPP2	1
ENV	1
EPAS1	1
EPCAM	1
EPHA1	1
EPHA10	1
EPHA2	3
EPHA3	2
EPHA4	1
EPHA5	1
EPHA6	1
EPHA7	1
EPHA8	1
EPHB1	1
EPHB2	1
EPHB3	1
EPHB4	4
EPHB6	1
EPHX2	2
ERAP1	1
ERAP2	1
ERBB2	37
ERBB3	16
ERBB4	13
EREG	1
ERG1	1
ERG11	21
ERVW-1	1
ESR1	2
ESRRG	1
EZH2	2
F	14
F10	11
F11	4
F12	1
F2	11
F2R	3
F2RL3	1
F5	1
F7	1
F8	2
F9	1
FAAH	3
FAU	7
FCER2	1
FCGR2B	1
FCGRT	5
FDFT1	1
FDPS	6
FFAR2	1
FGA	1
FGB	1
FGF1	2
FGF2	1
FGF23	1
FGFR1	26
FGFR2	24
FGFR3	24
FGFR4	16
FGG	1
FGR	5
FKBP1A	7
FLT1	46
FLT3	43
FLT4	47
FNTA	2
FNTB	2
FOLR1	1
FRK	6
FTO	1
FXYD2	6
FYN	6
FZD1	1
FZD2	1
FZD5	1
FZD7	1
FZD8	2
G	3
GAA	3
GABBR1	1
GABBR2	1
GABRA1	2
GABRA2	2
GABRA3	2
GABRA4	2
GABRA5	2
GABRA6	2
GABRB1	2
GABRB2	2
GABRB3	2
GABRD	2
GABRE	2
GABRG1	2
GABRG2	2
GABRG3	2
GABRP	2
GABRQ	2
GART	6
GAS6	1
GCGR	6
GDF2	1
GGCX	1
GHR	1
GHSR	1
GLP1R	1
GLS	1
GMPS	1
GNRHR	14
GP	6
GP1BA	1
GP6	1
GPC3	1
GPD2	1
GPR84	2
GRIA1	9
GRIA2	9
GRIA3	8
GRIA4	8
GRIK1	4
GRIK2	3
GRIK3	3
GRIK4	3
GRIK5	3
GRIN1	23
GRIN2A	21
GRIN2B	23
GRIN2C	19
GRIN2D	19
GRIN3A	19
GRIN3B	19
GRM5	4
GSC1	5
GSK3A	4
GSK3B	6
GSR	1
GSTP1	1
GUCY1A1	1
GUCY1A2	1
GUCY1B1	1
GUCY1B2	1
GWT1	1
HA	4
HAMP	1
HAVCR2	3
HBA1	1
HBA2	1
HBB	1
HBEGF	1
HBcAg	1
HCK	6
HCN4	3
HCRTR1	8
HCRTR2	9
HDAC1	12
HDAC10	10
HDAC11	11
HDAC2	12
HDAC3	12
HDAC4	10
HDAC5	10
HDAC6	12
HDAC7	10
HDAC8	11
HDAC9	10
HELI	2
HGF	2
HIV1	1
HLA-DRB1	1
HLA-DRB3	1
HLA-DRB4	1
HLA-DRB5	1
HMGB1	1
HMGCR	10
HPD	1
HPSE	1
HRAS	1
HRH1	69
HRH2	10
HRH3	15
HRH4	3
HSD11B1	6
HSD11B2	1
HSD3B2	1
HSP90	1
HSP90AA1	9
HSP90AB1	9
HSPA1A	1
HSPA1B	1
HSPA8	1
HTR1A	7
HTR1B	5
HTR1D	4
HTR1E	2
HTR1F	2
HTR2A	61
HTR2B	8
HTR2C	30
HTR3A	19
HTR3B	10
HTR3C	9
HTR3D	9
HTR3E	9
HTR4	3
HTR5A	2
HTR6	7
HTR7	4
ICAM1	3
ICAM3	1
ICOS	2
ICOSLG	1
IDH1	7
IDH2	3
IDO1	2
IFNA1	2
IFNA10	2
IFNA13	2
IFNA14	2
IFNA16	2
IFNA17	2
IFNA2	2
IFNA21	2
IFNA4	2
IFNA5	2
IFNA6	2
IFNA7	2
IFNA8	2
IFNAR1	1
IFNB1	1
IFNG	3
IGF1	2
IGF1R	18
IGF2	2
IGHE	6
IKBKB	7
IL10	1
IL12A	3
IL12B	8
IL13	7
IL15	1
IL17A	10
IL17F	2
IL17RA	1
IL18	2
IL1A	2
IL1B	5
IL1R1	3
IL1RAP	3
IL1RL1	1
IL1RL2	2
IL20	1
IL22	1
IL23A	8
IL2RA	3
IL2RB	4
IL2RG	2
IL31RA	1
IL33	2
IL3RA	1
IL4	2
IL4R	1
IL5	3
IL5RA	1
IL6	8
IL6R	5
IL6ST	1
IL9	1
IMPA1	2
IMPDH1	9
IMPDH2	7
INHBA	2
INSR	3
IRAK1	1
IRAK4	1
ITGA2	1
ITGA2B	5
ITGA4	5
ITGA5	3
ITGAL	4
ITGAM	1
ITGAV	7
ITGB1	5
ITGB2	6
ITGB3	10
ITGB5	3
ITGB6	3
ITGB7	5
ITGB8	1
ITK	3
JAK1	23
JAK2	29
JAK3	19
KCNA1	6
KCNA10	6
KCNA2	6
KCNA3	6
KCNA4	6
KCNA5	7
KCNA6	6
KCNA7	6
KCNB1	6
KCNB2	6
KCNC1	6
KCNC2	6
KCNC3	6
KCNC4	6
KCND1	6
KCND2	6
KCND3	7
KCNF1	6
KCNG1	6
KCNG2	6
KCNG3	6
KCNG4	6
KCNH1	6
KCNH2	13
KCNH3	6
KCNH4	6
KCNH5	6
KCNH6	6
KCNH7	6
KCNH8	6
KCNJ11	13
KCNJ2	1
KCNJ3	1
KCNJ5	1
KCNK3	1
KCNK9	1
KCNN4	1
KCNQ1	6
KCNQ2	6
KCNQ3	6
KCNQ4	6
KCNQ5	6
KCNS1	6
KCNS2	6
KCNS3	6
KCNV1	6
KCNV2	6
KDM1A	1
KDR	75
KEAP1	4
KIF11	4
KIF5B	2
KIR2DL1	2
KIR2DL2	2
KIR2DL3	2
KIR3DL2	1
KIT	35
KLKB1	6
KLRC1	1
KMT2A	1
KPC-2	1
KRAS	3
L	4
LAG3	5
LAP3	1
LCK	7
LGALS1	1
LGALS3	3
LGR4	1
LILRA4	1
LINGO1	1
LIPF	2
LNPEP	1
LOXL2	2
LPAR1	1
LTA	2
LTA4H	1
LTB	1
LTB4R	4
LTB4R2	2
LVRN	1
LY96	1
LYN	8
M	3
MADCAM1	1
MAG	1
MALT1	1
MAOA	13
MAOB	15
MAP2K1	19
